"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 04월 29일","104.69","105.17","107.99","103.78","-","-0.64%"
"2022년 04월 28일","105.36","102.11","105.68","100.13","312.06K","3.27%"
"2022년 04월 27일","102.02","101.76","102.99","99.80","278.78K","0.31%"
"2022년 04월 26일","101.70","98.64","102.78","97.06","351.85K","3.21%"
"2022년 04월 25일","98.54","101.38","101.55","95.28","328.15K","-3.46%"
"2022년 04월 22일","102.07","104.07","104.22","101.06","246.12K","-1.66%"
"2022년 04월 21일","103.79","102.50","105.42","102.01","280.32K","1.01%"
"2022년 04월 20일","102.75","103.05","104.16","100.70","17.02K","0.19%"
"2022년 04월 19일","102.56","107.75","108.92","102.10","71.79K","-5.22%"
"2022년 04월 18일","108.21","107.03","109.81","106.00","68.49K","1.18%"
"2022년 04월 14일","106.95","104.20","107.64","102.12","244.95K","2.59%"
"2022년 04월 13일","104.25","100.91","104.47","99.87","312.50K","3.63%"
"2022년 04월 12일","100.60","95.17","101.35","94.84","329.04K","6.69%"
"2022년 04월 11일","94.29","98.40","98.52","92.93","315.87K","-4.04%"
"2022년 04월 08일","98.26","97.17","98.76","95.29","310.08K","2.32%"
"2022년 04월 07일","96.03","97.16","98.82","93.81","367.32K","-0.21%"
"2022년 04월 06일","96.23","101.24","104.02","95.73","366.04K","-5.62%"
"2022년 04월 05일","101.96","103.66","105.59","99.88","280.28K","-1.28%"
"2022년 04월 04일","103.28","98.95","103.94","98.05","288.13K","4.04%"
"2022년 04월 01일","99.27","101.23","101.75","97.78","324.78K","-1.01%"
"2022년 03월 31일","100.28","107.45","107.80","99.66","450.85K","-6.99%"
"2022년 03월 30일","107.82","105.24","108.75","104.55","284.54K","3.43%"
"2022년 03월 29일","104.24","103.47","107.84","98.44","387.20K","-1.62%"
"2022년 03월 28일","105.96","112.92","112.93","102.83","372.25K","-6.97%"
"2022년 03월 25일","113.90","111.75","114.12","108.68","320.30K","1.39%"
"2022년 03월 24일","112.34","114.47","116.64","110.61","307.24K","-2.25%"
"2022년 03월 23일","114.93","108.85","115.40","108.38","289.18K","2.84%"
"2022년 03월 22일","111.76","112.90","115.01","109.30","22.94K","-0.32%"
"2022년 03월 21일","112.12","105.13","112.69","104.08","77.22K","7.09%"
"2022년 03월 18일","104.70","103.62","106.28","102.30","74.25K","1.67%"
"2022년 03월 17일","102.98","95.34","104.24","94.85","210.76K","8.35%"
"2022년 03월 16일","95.04","95.23","99.22","94.07","293.95K","-1.45%"
"2022년 03월 15일","96.44","102.28","102.58","93.53","401.69K","-6.38%"
"2022년 03월 14일","103.01","109.42","109.72","99.76","344.18K","-5.78%"
"2022년 03월 11일","109.33","105.99","110.29","104.48","368.19K","3.12%"
"2022년 03월 10일","106.02","110.41","114.88","105.53","437.92K","-2.47%"
"2022년 03월 09일","108.70","124.66","126.84","103.63","594.77K","-12.13%"
"2022년 03월 08일","123.70","120.67","129.44","117.07","583.11K","3.60%"
"2022년 03월 07일","119.40","121.33","130.50","115.54","576.02K","3.22%"
"2022년 03월 04일","115.68","107.96","116.02","107.25","493.88K","7.44%"
"2022년 03월 03일","107.67","111.33","116.57","106.43","592.03K","-2.65%"
"2022년 03월 02일","110.60","107.12","112.51","105.18","651.85K","6.95%"
"2022년 03월 01일","103.41","96.09","106.78","95.32","698.81K","8.03%"
"2022년 02월 28일","95.72","94.99","99.10","94.43","490.80K","4.51%"
"2022년 02월 25일","91.59","93.32","95.64","90.06","523.79K","-1.31%"
"2022년 02월 24일","92.81","92.52","100.54","91.45","872.24K","0.77%"
"2022년 02월 23일","92.10","91.74","93.90","90.64","440.57K","-0.27%"
"2022년 02월 22일","92.35","91.75","96.00","90.35","40.75K","-0.32%"
"2022년 02월 21일","92.65","91.62","93.91","89.08","-","1.12%"
"2022년 02월 20일","91.62","91.22","91.74","91.08","-","0.60%"
"2022년 02월 18일","91.07","91.63","92.66","89.03","150.38K","-0.75%"
"2022년 02월 17일","91.76","90.90","93.36","90.62","212.55K","-2.03%"
"2022년 02월 16일","93.66","92.21","95.01","90.00","401.45K","1.73%"
"2022년 02월 15일","92.07","94.83","95.17","90.66","442.64K","-3.55%"
"2022년 02월 14일","95.46","93.91","95.82","92.09","467.07K","2.53%"
"2022년 02월 11일","93.10","90.00","94.66","89.19","554.42K","3.58%"
"2022년 02월 10일","89.88","90.01","91.74","89.03","492.09K","0.25%"
"2022년 02월 09일","89.66","89.86","90.58","88.41","445.62K","0.34%"
"2022년 02월 08일","89.36","91.64","91.68","88.51","467.39K","-2.15%"
"2022년 02월 07일","91.32","91.82","92.73","90.73","497.75K","-1.07%"
"2022년 02월 04일","92.31","90.19","93.17","90.07","410.93K","2.26%"
"2022년 02월 03일","90.27","87.98","90.45","86.75","465.77K","2.28%"
"2022년 02월 02일","88.26","88.35","89.72","87.10","456.86K","0.07%"
"2022년 02월 01일","88.20","88.15","88.87","86.55","376.84K","0.06%"
